sessions,ours (s),plume (s)
10,0.623823,16.51853
20,0.624387,17.671595
30,0.596901,18.73446
40,0.574619,15.69343
50,0.533645,30.83607
60,0.507139,45.087434
70,0.502138,57.583882
80,0.484443,60.44515
90,0.490565,68.354431
100,0.512184,84.039763
