sessions,ours (s),plume (s)
10,0.433564,14.535553
20,0.443933,26.190399
30,0.457968,14.562233
40,0.433945,49.416588
50,0.433009,76.410285
60,0.435715,86.965898
70,0.442451,39.441579
80,0.445231,27.072347
90,0.428065,71.816904
100,0.430321,33.678231
