sessions,ours (s),plume (s)
10,0.445576,26.172993
20,0.429024,16.555379
30,0.44123,20.60439
40,0.429329,20.163722
50,0.449444,17.917951
60,0.453773,21.282794
70,0.440666,28.61484
80,0.452837,24.086197
90,0.445507,25.956404
100,0.450775,21.205788
