sessions,ours (s),plume (s)
10,0.411286,14.019861
20,0.42788,15.647111
30,0.423957,16.421995
40,0.410522,14.077765
50,0.388379,27.942784
60,0.368304,42.875477
70,0.373396,54.718469
80,0.364011,64.491634
90,0.360846,62.25495
100,0.362055,82.673078
