sessions,ours (s),plume (s)
10,0.668592,15.897745
20,0.63851,29.344252
30,0.620929,16.48458
40,0.627501,51.121064
50,0.604035,78.181576
60,0.624146,83.382518
70,0.61827,42.49875
80,0.597259,30.207162
90,0.632166,75.441619
100,0.6116,37.787757
