sessions,ours (s),plume (s)
10,1.067084,16.348999
20,1.541479,29.229245
30,1.631102,17.268931
40,1.921856,50.385565
50,2.075834,80.974417
60,2.08292,82.716648
70,2.403183,41.952292
80,2.62526,29.507273
90,2.702763,80.262902
100,2.802053,36.75088
