sessions,ours (s),plume (s)
10,1.10821,27.927838
20,1.494414,18.838905
30,1.712919,23.502371
40,1.859261,22.273163
50,2.021141,20.679311
60,2.245968,23.953317
70,2.395446,31.240998
80,2.65232,27.870926
90,2.729749,29.471631
100,2.641344,24.677926
