sessions,ours (s),plume (s)
10,1.058734,16.290647
20,1.252565,17.626273
30,1.504681,18.063216
40,1.726512,16.866419
50,1.657553,31.506181
60,1.64967,47.634338
70,1.794789,56.420926
80,1.890103,60.079801
90,1.978828,69.776794
100,2.014245,84.578588
