ops_per_txn,ours (s),plume (s)
10,0.235013,4.547806
20,0.499005,6.155823
30,0.782487,7.014401
40,1.221643,8.459855
50,1.768362,9.848162
60,2.4212,11.570503
70,3.226854,13.287932
80,3.927615,15.680623
90,4.452962,16.78479
100,5.252095,19.964085
