ops_per_txn,ours (s),plume (s)
10,0.122838,4.570089
20,0.177912,6.113501
30,0.257476,7.120596
40,0.349021,8.48946
50,0.438344,10.200866
60,0.525693,12.037194
70,0.653535,13.041874
80,0.756566,15.948748
90,0.854385,16.93577
100,0.940229,19.803299
