ops_per_txn,ours (s),plume (s)
10,0.220576,4.408057
20,0.477508,5.984608
30,0.673824,7.097844
40,0.940931,8.495046
50,1.198833,8.788442
60,1.482662,9.461978
70,1.710599,11.145525
80,2.047322,11.44492
90,2.29396,12.310273
100,2.841015,13.804504
