ops_per_txn,ours (s),plume (s)
10,0.073366,2.718661
20,0.091614,3.451525
30,0.11763,4.049408
40,0.149337,4.120887
50,0.165634,4.525885
60,0.215331,5.370099
70,0.247576,6.080273
80,0.329369,6.208174
90,0.389285,6.114308
100,0.502264,7.536696
