ops_per_txn,ours (s),plume (s)
10,0.091589,3.357709
20,0.152375,4.945326
30,0.181091,5.571826
40,0.255039,6.480475
50,0.326078,7.576949
60,0.408912,8.74683
70,0.530216,9.974912
80,0.663973,10.864249
90,0.795397,11.771023
100,0.978696,12.414527
