ops_per_txn,ours (s),plume (s)
10,0.161369,4.041446
20,0.254687,4.643856
30,0.312303,4.545558
40,0.412298,5.456894
50,0.545587,5.775271
60,0.624308,5.937823
70,0.838466,6.39447
80,1.039648,7.045548
90,1.148926,7.493167
100,1.660381,8.797006
