ops_per_txn,ours (s),plume (s)
10,0.101058,4.790841
20,0.195128,6.608568
30,0.297069,7.497423
40,0.386873,7.823596
50,0.489755,8.92191
60,0.598544,9.404599
70,0.704017,11.411199
80,0.799503,11.715914
90,0.875859,12.328869
100,0.972826,14.516027
