txns,actual_txns,sessions,events,keys
1024,1010,100,8453,3226
2048,1991,100,15697,5290
4096,3997,100,29180,8207
8192,7984,100,53965,12026
16384,15992,100,102408,18582
32768,31977,100,197367,31669
65536,64045,100,389659,57142
131072,127835,100,772458,107950
262144,255496,100,1538116,208611
524288,511321,100,3071562,413300
1048576,1022997,100,6142190,821566
