txns,ours (s),plume (s)
1024,0.011673,0.864458
2048,0.017565,1.181664
4096,0.020966,1.523808
8192,0.052555,2.256191
16384,0.093802,3.260224
32768,0.148555,7.914056
65536,0.247546,29.367927
131072,0.491112,149.582622
262144,1.12525,597.369282
524288,2.333609,1862.811158
1048576,4.852542,5929.227421
