txns,ours (s),plume (s)
1024,0.007582,0.862462
2048,0.015576,1.1946
4096,0.018949,1.580729
8192,0.046322,2.475558
16384,0.095844,4.690042
32768,0.161324,11.875521
65536,0.272299,52.590875
131072,0.45926,185.856144
262144,0.961674,729.796167
524288,1.868699,2199.570468
1048576,4.078324,DNF
