txns,ours (s),plume (s),dbcop (s)
1024,0.021516,0.844879,0.043562
2048,0.044516,1.383043,0.268185
4096,0.069014,1.91723,10.125248
8192,0.1375,2.887647,DNR
16384,0.250332,4.192385,DNR
32768,0.494048,8.877263,DNR
65536,1.109414,30.855746,DNR
131072,2.797816,145.970621,DNR
262144,6.453744,588.542568,DNR
524288,16.598052,1778.896358,DNR
1048576,35.515801,6189.404779,DNR
