database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
rocksdb,twitter,1999,50,15846,6036,0.018219,1.187082,C,C
rocksdb,twitter,4013,50,29281,9469,0.026528,1.805202,C,C
rocksdb,twitter,7942,50,54718,14538,0.035756,2.155743,C,C
rocksdb,twitter,15856,50,103840,22034,0.085321,3.322851,C,C
rocksdb,twitter,31371,50,201261,35242,0.166666,5.73674,C,C
rocksdb,twitter,62149,50,403613,59742,0.265039,11.23783,C,C
rocksdb,twitter,122733,50,804354,103760,0.537779,35.204775,C,C
rocksdb,twitter,242459,50,1603636,181419,1.029834,173.108467,C,C
rocksdb,twitter,481027,50,3176724,319502,2.350787,799.204318,C,C
rocksdb,twitter,956588,50,6232203,559815,5.236539,2917.04708,C,C
rocksdb,rubis,803,100,6191,2515,0.007582,0.862462,C,C
rocksdb,rubis,1694,100,12704,4696,0.015576,1.1946,C,C
rocksdb,rubis,3504,100,24903,7802,0.018949,1.580729,C,C
rocksdb,rubis,7363,100,48533,12073,0.046322,2.475558,C,C
rocksdb,rubis,14802,100,92712,18500,0.095844,4.690042,C,C
rocksdb,rubis,29913,100,182398,31366,0.161324,11.875521,C,C
rocksdb,rubis,59994,100,358393,56948,0.272299,52.590875,C,C
rocksdb,rubis,120550,100,715688,107642,0.45926,185.856144,C,C
rocksdb,rubis,241384,100,1426709,209418,0.961674,729.796167,C,C
rocksdb,rubis,482693,100,2849541,411494,1.868699,2199.570468,C,C
rocksdb,rubis,965723,100,5694298,816005,4.078324,DNF,C,N/A
postgres,rubis,1003,100,8302,3181,0.0112,0.82173,C,C
postgres,rubis,1988,100,15673,5271,0.016518,1.098064,C,C
postgres,rubis,3997,100,28965,8191,0.034262,1.631364,C,C
postgres,rubis,7915,100,53293,12088,0.057294,2.296173,C,C
postgres,rubis,15869,100,101267,18657,0.067329,2.909572,C,C
postgres,rubis,31755,100,197435,31416,0.173427,5.550155,C,C
postgres,rubis,63343,100,387390,56364,0.30402,9.89369,C,C
postgres,rubis,126718,100,769316,106414,0.543627,20.891881,C,C
postgres,rubis,253885,100,1533108,208424,1.10577,55.87997,C,C
postgres,rubis,507729,100,3060257,409366,2.303437,172.407472,C,C
postgres,rubis,1015023,100,6111542,811160,4.790817,645.33683,C,C
cockroachdb,tpcc,1870,50,72987,28939,0.065626,1.793577,C,C
cockroachdb,tpcc,3161,50,126690,47788,0.100369,2.361951,C,C
cockroachdb,tpcc,6811,50,245401,80141,0.185448,3.86146,C,C
cockroachdb,tpcc,14590,50,488660,135338,0.327301,5.472991,C,C
cockroachdb,tpcc,28630,50,917753,228931,0.567454,10.538983,C,C
cockroachdb,tpcc,56148,50,1763153,398690,1.165672,23.033064,C,C
cockroachdb,tpcc,114125,50,3433898,678735,2.660234,51.525074,C,C
cockroachdb,tpcc,225014,50,6636934,1177961,6.392221,150.988125,C,C
cockroachdb,tpcc,450710,50,12973823,2062582,13.23002,526.784745,C,C
cockroachdb,tpcc,905587,50,25620662,3687906,26.553265,4965.275801,C,C
cockroachdb,tpcc,1812223,50,50577782,6730354,54.540048,DNF,C,N/A
rocksdb,tpcc,1684,50,70417,28980,0.064031,1.840985,C,C
rocksdb,tpcc,3298,50,131505,49802,0.073105,2.319264,C,C
rocksdb,tpcc,6975,50,252622,80782,0.171568,3.706471,C,C
