txns,actual_txns,sessions,events,keys
1024,871,50,6863,2753
2048,1793,50,13641,4888
4096,3639,50,25700,7901
8192,7411,50,49028,12171
16384,14888,50,93354,18633
32768,29823,50,181561,31313
65536,59328,50,353349,57184
131072,118977,50,702514,107486
262144,237763,50,1399622,208794
524288,475575,50,2786882,412194
1048576,950974,50,5572514,817564
