txns,ours (s),plume (s)
1024,0.011921,0.862558
2048,0.018355,1.233796
4096,0.033707,1.718302
8192,0.048877,2.29532
16384,0.101409,3.026717
32768,0.174486,5.835237
65536,0.310661,11.398642
131072,0.632189,30.150081
262144,1.408185,132.300544
524288,3.233688,641.222406
1048576,6.565985,2981.701878
