txns,ours (s),plume (s)
1024,0.01305,0.841277
2048,0.014529,1.123955
4096,0.024582,1.706305
8192,0.060563,2.384625
16384,0.104995,3.64095
32768,0.179963,5.891845
65536,0.289921,14.260187
131072,0.521522,34.172217
262144,1.097179,208.817962
524288,2.263679,1057.01591
1048576,4.490968,2823.500424
