txns,ours (s),plume (s)
1024,0.064031,1.840985
2048,0.073105,2.319264
4096,0.171568,3.706471
8192,0.281018,6.318988
16384,0.50876,10.748151
32768,1.082575,21.171492
65536,2.499913,49.852986
131072,5.577303,151.126597
262144,11.242237,694.724982
524288,22.319743,1946.191539
1048576,51.46924,DNF
