txns,ours (s),plume (s)
1024,0.011884,0.904355
2048,0.016373,1.195775
4096,0.021319,1.6275
8192,0.039844,2.286729
16384,0.059441,3.158309
32768,0.168343,6.597911
65536,0.289968,24.723853
131072,0.646945,116.413159
262144,1.421768,552.382068
524288,3.273699,1993.987002
1048576,6.841148,DNF
