txns,ours (s),plume (s)
1024,0.059385,1.749116
2048,0.086507,2.487455
4096,0.119006,3.864645
8192,0.257442,6.123915
16384,0.523252,10.218171
32768,1.143643,20.598652
65536,2.485951,57.824394
131072,4.697635,135.655233
262144,9.932648,640.295075
524288,22.586479,1742.585146
1048576,55.496761,DNF
