txns,ours (s),plume (s),dbcop (s)
1024,0.018699,0.833538,0.048759
2048,0.032206,1.311827,1.058987
4096,0.07432,2.007487,72.603856
8192,0.128456,3.417588,DNR
16384,0.258998,5.545194,DNR
32768,0.5073,13.111114,DNR
65536,1.108307,53.352629,DNR
131072,2.712507,193.693242,DNR
262144,7.206285,714.330139,DNR
524288,15.99753,2188.247345,DNR
1048576,41.406619,6880.475392,DNR
