txns,ours (s),plume (s)
1024,0.0112,0.82173
2048,0.016518,1.098064
4096,0.034262,1.631364
8192,0.057294,2.296173
16384,0.067329,2.909572
32768,0.173427,5.550155
65536,0.30402,9.89369
131072,0.543627,20.891881
262144,1.10577,55.87997
524288,2.303437,172.407472
1048576,4.790817,645.33683
