txns,ours (s),plume (s)
1024,0.008469,0.896148
2048,0.019404,1.429911
4096,0.028072,2.045832
8192,0.052416,3.109001
16384,0.105771,4.126441
32768,0.153825,8.169728
65536,0.32982,18.433989
131072,0.621272,67.584061
262144,1.332797,199.83155
524288,2.862503,681.430885
1048576,6.073315,2325.469879
