txns,ours (s),plume (s),dbcop (s)
1024,0.021979,0.956362,0.247442
2048,0.037941,1.374463,7.550647
4096,0.043204,2.119283,212.387627
8192,0.112924,3.01211,DNR
16384,0.215501,4.8043,DNR
32768,0.444252,6.895953,DNR
65536,0.921359,17.23047,DNR
131072,2.197048,38.863486,DNR
262144,5.233968,221.868285,DNR
524288,13.078851,1084.890573,DNR
1048576,30.664449,3155.62736,DNR
