txns,ours (s),plume (s)
1024,0.042994,1.838584
2048,0.066126,2.498922
4096,0.134972,4.13599
8192,0.271533,6.227737
16384,0.490628,11.20398
32768,1.117801,27.3866
65536,2.379827,67.826744
131072,4.530387,236.846809
262144,9.350596,808.097461
524288,21.466671,2723.920691
1048576,52.027398,DNF
