txns,ours (s),plume (s),dbcop (s)
1024,0.020902,0.948672,0.058915
2048,0.046927,1.432732,0.674875
4096,0.085911,2.157336,38.39705
8192,0.142981,3.109575,DNR
16384,0.279815,4.624356,DNR
32768,0.571629,7.424804,DNR
65536,1.266989,13.922541,DNR
131072,3.083354,28.883145,DNR
262144,7.203675,78.267013,DNR
524288,18.069651,220.234878,DNR
1048576,47.290881,892.855729,DNR
