txns,ours (s),plume (s)
1024,0.057667,1.781151
2048,0.099009,2.446952
4096,0.12836,3.476852
8192,0.249095,5.41817
16384,0.461845,9.533833
32768,1.089312,17.394663
65536,2.32135,56.745173
131072,4.740459,142.672992
262144,10.14524,582.965751
524288,21.806938,1620.813827
1048576,53.033957,DNF
