txns,ours (s),plume (s),dbcop (s)
1024,0.030464,0.987804,0.052047
2048,0.048575,1.583929,0.33734
4096,0.082412,2.223382,16.478114
8192,0.122682,3.081218,DNR
16384,0.276513,4.505536,DNR
32768,0.592036,7.392851,DNR
65536,1.450868,13.90229,DNR
131072,3.852769,34.297521,DNR
262144,10.413073,147.493913,DNR
524288,29.104121,689.405999,DNR
1048576,62.242805,2895.990627,DNR
