txns,ours (s),plume (s),dbcop (s)
1024,0.145531,1.967127,0.23601
2048,0.260562,2.651128,7.200753
4096,0.487231,4.272089,322.244863
8192,0.885786,6.48857,DNR
16384,1.920679,11.111353,DNR
32768,4.351645,27.868108,DNR
65536,8.529633,69.527577,DNR
131072,18.632969,238.393975,DNR
262144,45.014828,798.960434,DNR
524288,98.187015,2641.502124,DNR
1048576,255.393265,DNF,DNR
