txns,actual_txns,sessions,events,keys
1024,1870,50,72987,28939
2048,3161,50,126690,47788
4096,6811,50,245401,80141
8192,14590,50,488660,135338
16384,28630,50,917753,228931
32768,56148,50,1763153,398690
65536,114125,50,3433898,678735
131072,225014,50,6636934,1177961
262144,450710,50,12973823,2062582
524288,905587,50,25620662,3687906
1048576,1812223,50,50577782,6730354
