txns,ours (s),plume (s)
50000,0.248994,18.391389
60000,0.290965,27.175961
70000,0.349846,30.054766
80000,0.38907,44.944253
90000,0.445009,54.33978
100000,0.483678,73.741409
110000,0.525092,93.902769
120000,0.598779,96.573362
130000,0.65726,122.810097
140000,0.703256,145.298818
