txns,ours (MiB),plume (MiB)
50000,N/A,N/A
60000,N/A,N/A
70000,N/A,N/A
80000,N/A,N/A
90000,N/A,N/A
100000,N/A,N/A
110000,N/A,N/A
120000,N/A,N/A
130000,N/A,N/A
140000,N/A,N/A
