#txns,ours (s),plume (s)
1024,0.122891,1.940465
2048,0.186631,2.527235
4096,0.361858,4.484887
8192,0.661192,6.911458
16384,1.252264,10.782989
32768,2.68551,21.359997
65536,5.716265,53.794604
131072,11.80903,227.159279
262144,22.888864,551.977934
