#txns,#actual_txns,#events,#keys
1024,1011,8556,3504
2048,2017,15402,5765
4096,3977,29193,9446
8192,8045,55002,14351
16384,16035,106956,21971
32768,32100,217777,34869
65536,64297,461582,59015
131072,128850,1002036,102134
262144,257920,2159484,180527
