#txns,ours (s),plume (s),dbcop (s)
1024,0.03194,0.863354,0.088275
2048,0.055518,1.399445,1.730147
4096,0.098369,1.812793,88.036997
8192,0.17874,2.802726,DNF
16384,0.331078,4.363537,DNR
32768,0.691662,6.63932,DNR
65536,1.616248,11.769286,DNR
131072,4.151023,31.916553,DNR
262144,9.978717,87.954097,DNR
