#txns,ours (s),plume (s)
1024,0.121472,1.878332
2048,0.179042,2.46802
4096,0.348172,3.641448
8192,0.574737,5.957681
16384,1.26592,10.477414
32768,2.54309,20.347889
65536,5.445214,53.706681
131072,11.654526,178.616407
262144,22.847132,DNF
