#txns,ours (s),plume (s)
1024,0.021705,0.883306
2048,0.039837,1.210767
4096,0.067322,1.535511
8192,0.113667,2.430371
16384,0.190636,3.524805
32768,0.324141,6.192346
65536,0.573287,15.728924
131072,1.178009,64.363347
262144,2.328335,195.308013
