#txns,ours (s),plume (s),dbcop (s)
1024,0.031657,1.019989,0.179972
2048,0.055489,1.591696,4.76746
4096,0.109203,2.044439,152.408708
8192,0.198338,2.99983,DNF
16384,0.327225,4.034395,DNR
32768,0.60064,6.220158,DNR
65536,1.315633,11.112313,DNR
131072,2.935602,23.298416,DNR
262144,6.590701,53.608921,DNR
