#txns,ours (s),plume (s)
1024,0.016514,0.858408
2048,0.042529,1.598907
4096,0.081389,1.857686
8192,0.134403,2.838773
16384,0.226115,4.44226
32768,0.428779,7.43483
65536,0.867217,13.415688
131072,1.978132,34.669806
262144,4.539595,143.631871
