#txns,ours (s),plume (s),dbcop (s)
1024,0.035535,0.912654,0.050443
2048,0.059766,1.472446,0.26512
4096,0.116007,1.946585,16.706274
8192,0.211988,2.777173,DNF
16384,0.352676,4.591934,DNR
32768,0.775405,7.527128,DNR
65536,2.008872,21.183935,DNR
131072,5.226004,88.925699,DNR
262144,12.937886,DNF,DNR
