#txns,ours (s),plume (s)
1024,0.10682,1.55591
2048,0.182678,2.470501
4096,0.305785,3.674772
8192,0.562617,5.487315
16384,1.151699,9.909114
32768,2.40878,24.359451
65536,4.989661,77.463393
131072,9.967693,232.600382
262144,20.27102,DNF
