#txns,ours (s),plume (s)
1024,0.02665,0.86607
2048,0.046423,1.396476
4096,0.080491,1.847098
8192,0.136177,2.893332
16384,0.228813,4.249426
32768,0.429168,6.677551
65536,0.883358,11.510393
131072,1.981985,34.43391
262144,4.621139,90.44664
