#txns,ours (s),plume (s),dbcop (s)
1024,0.195144,2.199313,0.23162
2048,0.335322,2.512342,5.347515
4096,0.607501,4.199746,257.430256
8192,1.215762,6.223498,DNF
16384,2.62673,9.872142,DNR
32768,5.618044,18.644496,DNR
65536,12.526206,59.446725,DNR
131072,25.645705,141.084138,DNR
262144,55.246434,DNF,DNR
