#txns,#actual_txns,#events,#keys
1024,1018,8679,3676
2048,2028,15680,5921
4096,4051,29433,9571
8192,8112,55353,14475
16384,16212,107924,21942
32768,32422,220249,35383
65536,64938,466340,59429
131072,129917,1005686,103370
262144,260045,2172120,181461
