#txns,ours (s),plume (s),dbcop (s)
1024,0.04358,0.963184,0.064625
2048,0.075354,1.424957,0.702111
4096,0.131336,2.180732,38.485521
8192,0.184557,2.865356,DNF
16384,0.387758,4.521001,DNR
32768,0.769639,6.985143,DNR
65536,1.751245,13.261675,DNR
131072,3.840506,27.96175,DNR
262144,9.022181,90.896548,DNR
