#txns,ours (s),plume (s),dbcop (s)
1024,0.031446,0.866096,0.141511
2048,0.055123,1.417855,1.175436
4096,0.109869,1.958413,127.703716
8192,0.177452,2.543092,DNF
16384,0.316098,4.472449,DNR
32768,0.61333,6.609808,DNR
65536,1.316025,12.283704,DNR
131072,3.12557,35.677407,DNR
262144,6.861992,187.498507,DNR
