#txns,ours (s),plume (s)
1024,0.11169,1.805074
2048,0.153882,2.701324
4096,0.316009,4.032688
8192,0.575934,6.110439
16384,1.21103,10.573208
32768,2.464112,25.081285
65536,5.15265,71.005852
131072,10.068164,240.815954
262144,20.654027,DNF
