#txns,ours (s),plume (s)
1024,0.02556,0.866791
2048,0.045519,1.227956
4096,0.081245,1.655905
8192,0.100266,2.222189
16384,0.205033,2.998678
32768,0.361363,4.835978
65536,0.664083,8.816674
131072,1.283912,16.331501
262144,2.625647,36.291178
