#txns,#actual_txns,#events,#keys
1024,1870,72987,28939
2048,3161,126690,47788
4096,6811,245401,80141
8192,14590,488660,135338
16384,28630,917753,228931
32768,56148,1763153,398690
65536,114125,3433898,678735
131072,225014,6636934,1177961
262144,450710,12973823,2062582
