#txns,ours (s),plume (s)
1024,0.018236,0.863556
2048,0.040674,1.106032
4096,0.066441,1.565796
8192,0.100912,2.274414
16384,0.194015,3.031674
32768,0.378334,5.580495
65536,0.777828,9.664275
131072,1.709522,32.609876
262144,3.831931,92.128971
