#txns,ours (s),plume (s)
1024,0.024344,0.839892
2048,0.029243,1.176015
4096,0.07122,1.528768
8192,0.111229,2.276893
16384,0.193225,2.971968
32768,0.334512,7.70471
65536,0.658725,27.945694
131072,1.307512,165.13735
262144,2.685619,DNF
