#txns,ours (s),plume (s)
1024,0.014197,0.896311
2048,0.0434,1.214945
4096,0.040462,1.607868
8192,0.125559,2.18241
16384,0.201899,2.956401
32768,0.387559,5.835637
65536,0.784042,10.531526
131072,1.736753,32.522657
262144,3.841522,137.678532
