#txns,ours (s),plume (s)
1024,0.025727,0.839629
2048,0.042608,1.200087
4096,0.075401,1.542511
8192,0.115542,2.526805
16384,0.206064,4.126695
32768,0.354749,11.50639
65536,0.648866,31.624232
131072,1.289802,147.469262
262144,2.633843,399.112711
