#txns,ours (s),plume (s),dbcop (s)
1024,0.029069,0.865601,0.062857
2048,0.061915,1.39141,1.056599
4096,0.111525,1.88358,72.927131
8192,0.198005,2.908755,DNF
16384,0.35322,5.451966,DNR
32768,0.705567,13.063281,DNR
65536,1.466589,54.60869,DNR
131072,3.634655,212.165935,DNR
262144,7.998074,DNF,DNR
