#txns,#actual_txns,#events,#keys
1024,1006,8463,3218
2048,2023,15870,5350
4096,4021,29261,8296
8192,8049,53847,12123
16384,16056,102479,18799
32768,32179,198370,31716
65536,64294,391158,57174
131072,128614,776478,108531
262144,257149,1545510,211002
