#txns,ours (s),plume (s)
1024,0.088033,1.796654
2048,0.156528,2.479589
4096,0.289404,4.288481
8192,0.590389,5.991695
16384,1.192435,9.601215
32768,2.515528,19.407639
65536,5.362984,70.594577
131072,10.340561,148.951017
262144,21.501893,DNF
