#txns,ours (s),plume (s)
1024,0.022119,0.749569
2048,0.03598,1.161949
4096,0.06311,1.487897
8192,0.110157,2.405235
16384,0.189404,4.625656
32768,0.324045,11.76147
65536,0.573332,51.100302
131072,1.175807,217.823584
262144,2.374609,DNF
