#txns,ours (s),plume (s),dbcop (s)
1024,0.03604,0.95445,0.229702
2048,0.056045,1.47822,7.543601
4096,0.08418,2.075336,211.937432
8192,0.179308,3.014437,DNF
16384,0.3224,4.379766,DNR
32768,0.639894,6.876837,DNR
65536,1.286268,16.472265,DNR
131072,2.922802,36.99217,DNR
262144,6.670599,242.948149,DNR
